Seller Name,# Depop Followers,# Items Sold,# Reviews,Star Rating,Social Media Link,Depop Store Link
@crepsandclothin,"2,790 ","1,026 ",630 ,4.95,,https://www.depop.com/crepsandclothin/
@356clobba,"2,739 ","1,002 ",487 ,4.8,https://instagram.com/365clobba,https://www.depop.com/356clobba/
@erbilsports,"1,224 ",947 ,393 ,5,,https://www.depop.com/erbilsports/
@docsandstuff,"5,550 ",946 ,437 ,5,,https://www.depop.com/docsandstuff/
@secondarysystems,"1,114 ",940 ,360 ,5,https://instagram.com/wh1teacre,https://www.depop.com/secondarysystems/
@solematemcr,"4,385 ",933 ,254 ,5,https://www.instagram.com/solemate_mcr,https://www.depop.com/solematemcr/
@joeyano7,"2,650 ",916 ,591 ,4.95,https://www.instagram.com/joeehilton/,https://www.depop.com/joeyano7/
@casualstrainersandclothing,"1,164 ",887 ,199 ,3.2,,https://www.depop.com/casualstrainersandclothing/
@bomosbits,"2,537 ",879 ,477 ,5,https://www.instagram.com/bomos.bits/,https://www.depop.com/bomosbits/
@luxcentral_,"7,672 ",865 ,448 ,5,https://www.instagram.com/luxcentral_/,https://www.depop.com/luxcentral_/
@churchlaneco,"3,186 ",826 ,333 ,5,,https://www.depop.com/churchlaneco/
@lindseylambcollections,"2,824 ",815 ,561 ,5,https://www.instagram.com/lindseyLambCollections,https://www.depop.com/lindseylambcollections/
@oagairmax,"2,605 ",809 ,244 ,4.75,https://linktr.ee/oagairmax,https://www.depop.com/oagairmax/
@douglas_den,"9,373 ",797 ,355 ,4.95,,https://www.depop.com/douglas_den/
@southcoastshoesupply,"5,552 ",772 ,802 ,5,https://www.instagram.com/southcoastshoesupply,https://www.depop.com/southcoastshoesupply/
@wevegotsole,"1,700 ",763 ,365 ,5,https://instagram.com/wevegotsoleltd,https://www.depop.com/wevegotsole/
@ianmorris1002,"3,001 ",755 ,638 ,5,,https://www.depop.com/ianmorris1002/
@skatewaves,"1,184 ",731 ,219 ,4.95,,https://www.depop.com/skatewaves/
@tobias_lynch11,"1,661 ",713 ,356 ,5,https://www.instagram.com/zestygarms,https://www.depop.com/tobias_lynch11/
@tailwindvintage,"2,440 ",711 ,232 ,5,https://instagram.com/tailwindvintage,https://www.depop.com/tailwindvintage/
@caraloula1,"2,066 ",703 ,316 ,5,,https://www.depop.com/caraloula1/
@herves,258 ,703,326 ,5,,https://www.depop.com/herves/
@flykicksofficial,"3,962 ",686 ,266 ,5,https://instagram.com/flykicksofficial,https://www.depop.com/flykicksofficial/
@ash2501,"30,600 ",678 ,273 ,4.65,,https://www.depop.com/ash2501/
@archiesrchive,"2,532 ",673 ,309 ,4.8,https://www.instagram.com/archiesrchive,https://www.depop.com/archiesrchive/
@garage_garments,"1,538 ",647 ,254 ,4.75,,https://www.depop.com/garage_garments/
